Product,Product Category (Enhanced Ecommerce),Transaction ID,Unique Purchases,Product Revenue
3.7V 3400mah LIION 12.6WH,Battery/Consumer Rechargeable,EC0043605902,47,"$1,597.53 "
3V PHOTO LITHIUM,Battery/Primary Other,EC0043507670,47,"$1,246.44 "
12V 11.2AH 225CCA AGM 12/0,Battery/Powersports,EC0043504182,41,"$4,714.59 "
12V 12AH 165CCA FLOODED 6/0,Battery/Powersports,EC0043503186,39,"$2,456.61 "
12V 12AH 210CCA AGM 12/0,Battery/Powersports,EC0043406547,34,"$3,570.00 "
12V 12AH 220CCA AGM,Battery/Powersports,EC0043406547,34,"$4,759.66 "
6V 4AH LEAD OE JR BLUE BATT FISHER PRICE,Battery/Sealed Lead Acid,EC0042903780,29,"$1,507.71 "
12V 31 MARINE DC 12,Battery/Marine/RV,EC0043607259,26,"$8,579.48 "
6V 2100MAH NIMH,Battery/Digital Camera/Camcorder,EC0043506900,26,$779.74 
3.6V 1200MAH LITHI,Battery/Primary Other,EC0043208361,25,$749.00 
12.8V 3750MAH LIFEPO4 48W,Battery/Powersports,EC0043606058,18,"$2,969.82 "
12V 26AH 400CCA AGM,Battery/Powersports,EC0043209531,18,"$3,743.82 "
12V 27 ULTRA GOLD 36,Battery/Auto/Light Truck,EC0043000375,18,"$3,239.82 "
12V 48 ULTRA PLATINUM 48,Battery/Auto/Light Truck,EC0043600755,18,"$4,409.82 "
REMOTE FORD,Device/Key Fob,EC0043106087,16,$799.84 
12V 24 MARINE DP 12,Battery/Marine/RV,EC0043400591,15,"$1,574.85 "
2PK 50Q/CL/MC,Bulb/Miniature,EC0043701059,15,$269.85 
CHRYSLER DODGE JEEP REMOTE,Device/Key Fob,EC0043102555,15,"$1,799.85 "
CORD BYTES UNICORN/PANDA,Accessory/Plus Products,EC0042808569,15,$97.35 
22.2V 2200MAH LIION 48.8W,Battery/HHD,EC0043600650,14,"$1,189.86 "
GRP 34 AGM DUAL X2 MARINE,Battery/Marine/RV,EC0043907326,14,"$4,689.86 "
12V 35 ULTRA 24,Battery/Auto/Light Truck,EC0043503073,13,"$2,144.87 "
3.2V 600MAH LIFEPO4 1.9WH,Battery/Consumer Rechargeable,EC0043400239,13,$370.11 
GRP 31 AGM DUAL X2 MARINE,Battery/Marine/RV,EC0043001145,13,"$5,719.87 "
OEM replacement battery for baby monitors,Battery/HHD,EC0042703152,13,$298.87 
12V 27 MARINE DP 12,Battery/Marine/RV,EC0043906827,12,"$1,379.88 "
12V 8AH 185CCA AGM 12/0,Battery/Powersports,EC0043906066,12,"$1,259.88 "
12V 18AH 310CCA AGM 12/0,Battery/Powersports,EC0043705308,11,"$1,286.89 "
12V 48 AGM DUAL X2 AUTO 60,Battery/Auto/Light Truck,EC0043404896,11,"$3,409.89 "
12V 94R ULTRA GOLD 36,Battery/Auto/Light Truck,EC0044002391,11,"$2,144.89 "
2PK 9003 POWERVISION,Bulb/Auto Bulb,EC0043503446,11,$472.89 
4 BUTTON REMOTE HEAD KEY REPLACEMENT FOR HONDA,Device/Key Fob,EC0043006974,11,$659.89 
7.4V 1030MAH LIION 7.6WH,Battery/Digital Camera/Camcorder,EC0043103157,11,$505.89 
AGM 12V 2.9AH .187 FASTON,Battery/Sealed Lead Acid,EC0043900885,11,$307.89 
12V 18AH 310CCA AGM 12/0,Battery/Powersports,EC0042805450,10,"$1,135.90 "
12V 51R ULTRA GOLD 36,Battery/Auto/Light Truck,EC0043902452,10,"$1,949.90 "
12V 94R ULTRA GOLD 36,Battery/Auto/Light Truck,EC0043001293,10,"$1,799.90 "
12V MIATA ULTRA 24,Battery/Auto/Light Truck,EC0043601825,10,"$1,649.90 "
CHRYSLER DODGE JEEP REMOTE,Device/Key Fob,EC0043404171,10,"$1,199.90 "
T4 17” 16W,Bulb/Fluorescent,EC0042902967,10,$124.90 
1.2V 700MAH NICAD AA,Battery/Tech Center,EC0043105101,9,$62.82 
1.55V SVROX,Battery/Watch/Hearing Aid,EC0042804763,9,$44.91 
1.55V SVROX,Battery/Watch/Hearing Aid,EC0042805979,9,$44.91 
1.55V SVROX,Battery/Watch/Hearing Aid,EC0043006345,9,$20.61 
12V 10AH 175CCA AGM 12/0,Battery/Powersports,EC0043604078,9,$836.91 
12V 11AH 205CCA AGM 12/0,Battery/Powersports,EC0043604078,9,$989.91 
12V 121R ULTRA 24,Battery/Auto/Light Truck,EC0042905035,9,"$1,394.91 "
12V 27 ULTRA 24,Battery/Auto/Light Truck,EC0043401915,9,"$1,394.91 "
12V 31 ULTRA 18,Battery/Truck; HD Equip,EC0043102852,9,"$1,151.91 "
12V 35 ULTRA GOLD 36,Battery/Auto/Light Truck,EC0043905874,9,"$1,799.91 "
